"Category","Energy","Temperature"
"18:17:11",5.771914,29.596
"18:17:13",5.771789,29.585
"18:17:15",5.771379,29.587
"18:17:17",5.771154,29.581
"18:17:19",5.770981,29.598
"18:17:21",5.770674,29.581
"18:17:23",5.770456,29.592
"18:17:25",5.77028,29.592
"18:17:27",5.770008,29.592
"18:17:29",5.770042,29.592
"18:17:31",5.769899,29.583
"18:17:33",5.769792,29.585
"18:17:35",5.769819,29.59
"18:17:37",5.769741,29.577
"18:17:39",5.769699,29.579
"18:17:41",5.769586,29.571
"18:17:43",5.769453,29.583
"18:17:45",5.769544,29.581
"18:17:47",5.769349,29.587
"18:17:49",5.769466,29.583
"18:17:51",5.769173,29.567
"18:17:53",5.769224,29.577
"18:17:55",5.769203,29.573
"18:17:57",5.769029,29.583
"18:17:59",5.768741,29.583
"18:18:01",5.768819,29.577
"18:18:03",5.768774,29.573
"18:18:06",5.76851,29.575
"18:18:08",5.768488,29.565
"18:18:10",5.768347,29.575
"18:18:12",5.768291,29.571
"18:18:14",5.768379,29.583
"18:18:16",5.76809,29.569
"18:18:18",5.768016,29.575
"18:18:20",5.767872,29.583
"18:18:22",5.76784,29.569
"18:18:24",5.767725,29.573
"18:18:26",5.767611,29.579
"18:18:28",5.767539,29.567
"18:18:30",5.767558,29.587
"18:18:32",5.767357,29.581
"18:18:34",5.767218,29.575
"18:18:36",5.76713,29.573
"18:18:38",5.767094,29.585
"18:18:40",5.766698,29.55
"18:18:42",5.766608,29.575
"18:18:44",5.766534,29.577
"18:18:46",5.766574,29.583
"18:18:48",5.766346,29.585
"18:18:50",5.766323,29.567
"18:18:52",5.766256,29.567
"18:18:54",5.766147,29.567
"18:18:56",5.766096,29.581
"18:18:58",5.765874,29.569
"18:19:00",5.765846,29.567
"18:19:02",5.76588,29.577
"18:19:04",5.765717,29.577
"18:19:06",5.765632,29.579
"18:19:08",5.765782,29.567
"18:19:10",5.765531,29.573
"18:19:12",5.765662,29.561
"18:19:14",5.765557,29.565
"18:19:16",5.765448,29.561
"18:19:18",5.765454,29.559
"18:19:20",5.765485,29.555
"18:19:22",5.765454,29.567
"18:19:24",5.765416,29.561
"18:19:26",5.765424,29.552
"18:19:28",5.765358,29.573
"18:19:30",5.765253,29.569
"18:19:32",5.765389,29.575
"18:19:34",5.76533,29.571
"18:19:36",5.765357,29.563
"18:19:38",5.765181,29.549
"18:19:40",5.76524,29.559
"18:19:42",5.765189,29.551
"18:19:44",5.765251,29.553
"18:19:46",5.765014,29.567
"18:19:48",5.76509,29.552
"18:19:50",5.765059,29.549
"18:19:52",5.76484,29.549
"18:19:54",5.764936,29.569
"18:19:56",5.764933,29.54
"18:19:58",5.764821,29.553
"18:20:00",5.764522,29.544
"18:20:02",5.764752,29.555
"18:20:04",5.764627,29.551
"18:20:06",5.764723,29.55
"18:20:08",5.764574,29.567
"18:20:10",5.764574,29.553
"18:20:12",5.764426,29.551
"18:20:14",5.764376,29.534
"18:20:16",5.764299,29.538
"18:20:18",5.764448,29.546
"18:20:20",5.764293,29.552
"18:20:22",5.76405,29.552
"18:20:24",5.76404,29.546
"18:20:26",5.764064,29.551
"18:20:28",5.763963,29.555
"18:20:30",5.763832,29.538
"18:20:32",5.763904,29.547
"18:20:34",5.763845,29.542
"18:20:36",5.763656,29.546
"18:20:38",5.763698,29.544
"18:20:40",5.763571,29.546
"18:20:42",5.763666,29.546
"18:20:44",5.763331,29.546
"18:20:46",5.763538,29.538
"18:20:48",5.763338,29.549
"18:20:50",5.763448,29.546
"18:20:52",5.763174,29.54
"18:20:54",5.763282,29.542
"18:20:56",5.76317,29.538
"18:20:58",5.763133,29.54
"18:21:00",5.76299,29.54
"18:21:02",5.763019,29.536
"18:21:04",5.762963,29.546
"18:21:06",5.762917,29.549
"18:21:08",5.762933,29.532
"18:21:10",5.762861,29.532
"18:21:12",5.762606,29.545
"18:21:14",5.76277,29.536
"18:21:16",5.762675,29.52
"18:21:18",5.762538,29.538
"18:21:20",5.762571,29.526
"18:21:22",5.762466,29.526
"18:21:24",5.762573,29.536
"18:21:26",5.762362,29.528
"18:21:28",5.762189,29.532
"18:21:30",5.762267,29.543
"18:21:32",5.762146,29.53
"18:21:34",5.762203,29.544
"18:21:36",5.762101,29.534
"18:21:38",5.76212,29.54
"18:21:40",5.762064,29.557
"18:21:42",5.761954,29.544
"18:21:44",5.761894,29.534
"18:21:46",5.761826,29.547
