Cycle,Capacity(Ah),Voltage Measured(V),Current Measured,Temperature Measured,Time Measured(Sec),SampleId
0,1.856487421,3.277169977,-0.006528351,34.23085284,3690.234,B0005
0,2.035337591,2.475767757,-2.009435892,39.16298653,3690.234,B0006
0,1.891052295,3.062112709,-0.001433299,37.33847849,3690.234,B0007
0,1.855004521,3.053230339,-0.002433415,37.2056713,3434.891,B0018
1,1.84632725,3.300244887,-0.000447553,34.39213659,3672.344,B0005
1,2.025140246,2.351525512,-2.010374856,39.24620268,3672.344,B0006
1,1.880637028,3.079226238,-0.003230385,37.1617386,3672.344,B0007
1,1.843195532,3.08820017,-0.000910648,37.15547522,3425.485,B0018
2,1.835349194,3.32745101,0.001026019,34.23277872,3651.641,B0005
2,2.013326371,2.440479715,-2.008558887,38.99920246,3651.641,B0006
2,1.880662672,3.063265547,-0.003157783,37.50810004,3651.641,B0007
2,1.839601842,3.076857654,-0.000684881,36.68085193,3410.375,B0018
3,1.835262528,3.314181859,-0.002233622,34.41344995,3631.563,B0005
3,2.013284666,2.479155854,-2.009290448,38.84362777,3631.563,B0006
3,1.880770901,3.039420908,-0.003421518,37.85540509,3631.563,B0007
3,1.830673604,3.10242391,-0.0025472,36.04487047,3404.719,B0018
4,1.834645508,3.305496731,9.24E-06,34.34588499,3629.172,B0005
4,2.000528338,2.280187848,-2.01176084,38.97798888,3629.172,B0006
4,1.879450873,3.043167178,-0.00235509,37.83587047,3629.172,B0007
4,1.832700207,3.117644174,-0.003002155,37.08459677,3417.641,B0018
5,1.83566166,3.302329113,-0.00396723,34.20092692,3652.281,B0005
5,2.013899076,2.439284257,-2.010947045,38.83989921,3652.281,B0006
5,1.880700352,3.123387982,-0.002524129,36.68060295,3652.281,B0007
5,1.828528885,3.114007319,-0.001247787,37.05331129,3411.766,B0018
6,1.835146143,3.29374067,-0.003424827,34.29828476,3650.828,B0005
6,2.013101106,2.281206845,-2.012014627,39.04610837,3650.828,B0006
6,1.879935252,3.118582129,-0.002681968,36.84575704,3650.828,B0007
6,1.82120119,3.169283092,-0.000793812,36.3514535,3399.516,B0018
7,1.825756791,3.316230741,0.001710239,34.76224184,3572.453,B0005
7,1.968789826,2.366410527,-2.009602654,38.87507521,3572.453,B0006
7,1.881508812,3.04842921,-0.003604924,38.24441491,3572.453,B0007
7,1.815170011,3.164680268,-0.00071762,36.12752493,3388.75,B0018
8,1.824773853,3.297410935,-0.001004052,35.05182953,3550.594,B0005
8,1.968166176,2.43602005,-2.010503182,38.72605398,3550.594,B0006
8,1.869690787,3.016246202,0.000274813,38.66297037,3550.594,B0007
