"Category","Voltage"
"18:17:11",3.607446
"18:17:13",3.607368
"18:17:15",3.607112
"18:17:17",3.606971
"18:17:19",3.606863
"18:17:21",3.606671
"18:17:23",3.606535
"18:17:25",3.606425
"18:17:27",3.606255
"18:17:29",3.606276
"18:17:31",3.606187
"18:17:33",3.60612
"18:17:35",3.606137
"18:17:37",3.606088
"18:17:39",3.606062
"18:17:41",3.605991
"18:17:43",3.605908
"18:17:45",3.605965
"18:17:47",3.605843
"18:17:49",3.605916
"18:17:51",3.605733
"18:17:53",3.605765
"18:17:55",3.605752
"18:17:57",3.605643
"18:17:59",3.605463
"18:18:01",3.605512
"18:18:03",3.605484
"18:18:06",3.605319
"18:18:08",3.605305
"18:18:10",3.605217
"18:18:12",3.605182
"18:18:14",3.605237
"18:18:16",3.605056
"18:18:18",3.60501
"18:18:20",3.60492
"18:18:22",3.6049
"18:18:24",3.604828
"18:18:26",3.604757
"18:18:28",3.604712
"18:18:30",3.604724
"18:18:32",3.604598
"18:18:34",3.604511
"18:18:36",3.604456
"18:18:38",3.604434
"18:18:40",3.604186
"18:18:42",3.60413
"18:18:44",3.604084
"18:18:46",3.604109
"18:18:48",3.603966
"18:18:50",3.603952
"18:18:52",3.60391
"18:18:54",3.603842
"18:18:56",3.60381
"18:18:58",3.603671
"18:19:00",3.603654
"18:19:02",3.603675
"18:19:04",3.603573
"18:19:06",3.60352
"18:19:08",3.603614
"18:19:10",3.603457
"18:19:12",3.603539
"18:19:14",3.603473
"18:19:16",3.603405
"18:19:18",3.603409
"18:19:20",3.603428
"18:19:22",3.603409
"18:19:24",3.603385
"18:19:26",3.60339
"18:19:28",3.603349
"18:19:30",3.603283
"18:19:32",3.603368
"18:19:34",3.603331
"18:19:36",3.603348
"18:19:38",3.603238
"18:19:40",3.603275
"18:19:42",3.603243
"18:19:44",3.603282
"18:19:46",3.603134
"18:19:48",3.603181
"18:19:50",3.603162
"18:19:52",3.603025
"18:19:54",3.603085
"18:19:56",3.603083
"18:19:58",3.603013
"18:20:00",3.602826
"18:20:02",3.60297
"18:20:04",3.602892
"18:20:06",3.602952
"18:20:08",3.602859
"18:20:10",3.602859
"18:20:12",3.602766
"18:20:14",3.602735
"18:20:16",3.602687
"18:20:18",3.60278
"18:20:20",3.602683
"18:20:22",3.602531
"18:20:24",3.602525
"18:20:26",3.60254
"18:20:28",3.602477
"18:20:30",3.602395
"18:20:32",3.60244
"18:20:34",3.602403
"18:20:36",3.602285
"18:20:38",3.602311
"18:20:40",3.602232
"18:20:42",3.602291
"18:20:44",3.602082
"18:20:46",3.602211
"18:20:48",3.602086
"18:20:50",3.602155
"18:20:52",3.601984
"18:20:54",3.602051
"18:20:56",3.601981
"18:20:58",3.601958
"18:21:00",3.601869
"18:21:02",3.601887
"18:21:04",3.601852
"18:21:06",3.601823
"18:21:08",3.601833
"18:21:10",3.601788
"18:21:12",3.601629
"18:21:14",3.601731
"18:21:16",3.601672
"18:21:18",3.601586
"18:21:20",3.601607
"18:21:22",3.601541
"18:21:24",3.601608
"18:21:26",3.601476
"18:21:28",3.601368
"18:21:30",3.601417
"18:21:32",3.601341
"18:21:34",3.601377
"18:21:36",3.601313
"18:21:38",3.601325
"18:21:40",3.60129
"18:21:42",3.601221
"18:21:44",3.601184
"18:21:46",3.601141
"18:21:48",3.601149
"18:21:50",3.601147
"18:21:52",3.601045
"18:21:54",3.601166
"18:21:56",3.601086
"18:21:58",3.601008
"18:22:00",3.600924
"18:22:02",3.601016
"18:22:04",3.6009
"18:22:06",3.600948
"18:22:08",3.60088
"18:22:10",3.600876
"18:22:12",3.60088
"18:22:14",3.600932
"18:22:16",3.600975
"18:22:18",3.600923
"18:22:20",3.600885
"18:22:22",3.600848
"18:22:24",3.600844
"18:22:26",3.600814
"18:22:28",3.600842
"18:22:30",3.600863
"18:22:32",3.600867
"18:22:34",3.600821
"18:22:36",3.600734
"18:22:38",3.600796
"18:22:40",3.600779
"18:22:42",3.600744
"18:22:44",3.600727
"18:22:46",3.6007
"18:22:48",3.600691
"18:22:50",3.600727
"18:22:52",3.600571
"18:22:54",3.600629
"18:22:56",3.600573
"18:22:58",3.600593
"18:23:00",3.600579
"18:23:02",3.600521
"18:23:04",3.600547
"18:23:06",3.600513
"18:23:08",3.600375
"18:23:10",3.600454
"18:23:12",3.600317
"18:23:14",3.600372
"18:23:16",3.600299
"18:23:18",3.600313
"18:23:20",3.600389
"18:23:22",3.600254
"18:23:24",3.600242
"18:23:26",3.600252
"18:23:28",3.600162
"18:23:30",3.600147
"18:23:32",3.600106
"18:23:34",3.600127
"18:23:36",3.60018
"18:23:38",3.600073
"18:23:40",3.599997
"18:23:42",3.600032
"18:23:44",3.599975
"18:23:46",3.599995
"18:23:48",3.599933
